learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
6,14,100,0,25,0,0,0.035447005997020505,55843265.20109421,4678911839.441471,28263166341.26413,1.0,1.0,1.0,6.197510357142858,6.75e-05,3801189260.005889
6,14,110,0,25,0,0,0.03399469466465248,91452917.9108475,5433302017.343809,30133825547.874294,1.0,1.0,1.0,5.739845571428572,0.0001265,4164059975.111905
6,14,120,0,25,0,0,0.03576156152319902,55900166.02569207,4333493986.592249,29374855511.045933,1.0,1.0,1.0,5.938663142857143,6.807142857142858e-05,3843314438.104483
6,15,10,77,25,45,1816,0.0395798256975809,479628733.90326935,41583242563.26218,251231603560.3641,1.0,1.0,1.0,69.55636073333334,0.0001302,33775548682.328224
6,15,20,54,25,44,1782,0.03946356790404579,248039806.6474045,19676402803.34204,114071843347.3832,1.0,1.0,1.0,34.639745866666665,5.813333333333332e-05,15516092610.108757
6,15,30,69,25,43,1642,0.03654859239718592,158899480.60050312,14103278228.899523,83708528375.9121,1.0,1.0,1.0,21.961332866666666,7.319999999999999e-05,11302738024.357422
6,15,40,49,25,39,1637,0.03880768047637294,109194244.40881786,10377921824.667406,62799598683.96755,1.0,1.0,1.0,17.66847293333333,6.713333333333334e-05,8431980127.441687
6,15,50,56,25,26,1278,0.038643506829151665,88128761.72315082,7580162296.892176,47711446616.732475,1.0,1.0,1.0,14.034628066666667,6.546666666666665e-05,6348867192.908706
6,15,60,0,25,0,0,0.04502219479305292,84880917.77006759,6008454317.7701025,34621758831.57653,1.0,1.0,1.0,13.9866414,0.00016146666666666667,4723283328.007468
6,15,70,0,25,25,1010,0.035755939019143645,95318320.54708128,6124994593.80198,39428832373.25857,1.0,1.0,1.0,9.3265994,0.00022140000000000004,5234604939.363881
6,15,80,0,25,0,0,0.03818459714642226,80217507.74203366,5918537729.333029,35932156583.3713,1.0,1.0,1.0,8.596461133333332,5.859999999999999e-05,4833075421.658125
6,15,90,0,25,0,0,0.039574114706982834,90457332.6370608,5023750062.428531,32645592509.776817,1.0,1.0,1.0,8.658574933333334,0.00010326666666666667,4332629358.077016
6,15,100,0,25,0,0,0.036499022248774514,79020137.57420267,4878209019.814477,29433405706.647743,1.0,1.0,1.0,6.8392886,0.00023779999999999998,3974296440.5196486
6,15,110,0,25,0,0,0.036678520710474845,58110079.06244321,5028767175.268856,29239032947.4497,1.0,1.0,1.0,6.281092266666666,0.0001838,3970333757.132963
6,15,120,0,25,0,0,0.03316522859596423,48516316.45983553,4226573148.047054,24856096888.038754,1.0,1.0,1.0,5.128307933333333,6.553333333333333e-05,3364885716.8831654
6,16,10,68,25,48,1897,0.03951243659740832,459256007.16288865,38822104693.204636,246551561651.90656,1.0,1.0,1.0,69.15346574999998,6.768749999999999e-05,32741056010.485413
6,16,20,54,25,47,1878,0.04203873467962252,249912803.07814682,20290885607.38262,116245702453.5841,1.0,1.0,1.0,36.902926125,7.69375e-05,15857686169.306728
6,16,30,65,25,35,1608,0.04427089800427679,160662216.60353,11714823149.052444,68148341531.954185,1.0,1.0,1.0,26.207084875,0.00017256250000000003,9270262220.937172
